song_name,artist_name,duration_ms,played_at_list,album_name,album_image,explicit,popularity,date
Breezeblocks,alt-J,227080,2023-07-21T07:08:42.697Z,An Awesome Wave,https://i.scdn.co/image/ab67616d0000b273028c3bb4b81ee71dd73d1596,False,76,2023-07-21
Outro,M83,247026,2023-07-21T07:04:56.197Z,"Hurry up, We're Dreaming",https://i.scdn.co/image/ab67616d0000b273b3591763154a27326b3f431a,False,69,2023-07-21
Solitude - Felsmann + Tiley Reinterpretation,M83,222354,2023-07-21T06:56:49.976Z,Solitude (Felsmann + Tiley Reinterpretation),https://i.scdn.co/image/ab67616d0000b273fe2c5d2fa20c15dbb06a606b,False,73,2023-07-21
Circles,Alfie Templeman,151286,2023-07-21T04:45:56.040Z,Don't Go Wasting Time,https://i.scdn.co/image/ab67616d0000b27305dec2ef47dd357b69a4b7fd,False,62,2023-07-21
Keep Moving,Jungle,240880,2023-07-21T04:33:24.069Z,Loving In Stereo,https://i.scdn.co/image/ab67616d0000b27374cecbbd6d0b6db5fdcca49d,False,70,2023-07-21
Odessa,Caribou,315585,2023-07-21T04:24:05.206Z,Swim,https://i.scdn.co/image/ab67616d0000b2733c17ef9472c134e367523eab,False,54,2023-07-21
Holidays,Miami Horror,268233,2023-07-21T04:16:58.769Z,Illumination,https://i.scdn.co/image/ab67616d0000b273b16108afdbe9285b9eaa00e7,False,54,2023-07-21
Holidays,Miami Horror,268233,2023-07-21T04:12:25.725Z,Illumination,https://i.scdn.co/image/ab67616d0000b273b16108afdbe9285b9eaa00e7,False,54,2023-07-21
"Heavy, California",Jungle,184599,2023-07-21T04:07:57.165Z,For Ever,https://i.scdn.co/image/ab67616d0000b2733960505e249b30cac0ce8d82,False,64,2023-07-21
GOOD TIMES,Jungle,181312,2023-07-21T04:03:26.542Z,GOOD TIMES / PROBLEMZ,https://i.scdn.co/image/ab67616d0000b2739794f349060e0bb35c8a6410,False,65,2023-07-21
The Less I Know The Better,Tame Impala,216320,2023-07-21T03:58:41.655Z,Currents,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,True,88,2023-07-21
The Less I Know The Better,Tame Impala,216320,2023-07-21T01:43:01.964Z,Currents,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,True,88,2023-07-21
Leila - Poolside Remix,Miami Horror,318461,2023-07-21T01:31:08.627Z,Leila (Poolside Remix),https://i.scdn.co/image/ab67616d0000b2738d05280571a54e6f41bf207a,False,60,2023-07-21
Busy Earnin',Jungle,181772,2023-07-21T01:25:48.985Z,Jungle,https://i.scdn.co/image/ab67616d0000b273bef47ced8e2a20e843403841,False,69,2023-07-21
